Identifier,Property Address,City,State,Zip,Y,X,Council District,Property Type,Square Footage
NOR900430,"411 TOLEDANO ST","New Orleans","LA","70125","29.918795016000445","-90.08546314299969",B,VACANT LOT,1075.9
NOR900431,"608 FOURTH ST","New Orleans","LA","70125","29.922623028000487","-90.07866463199969",B,VACANT LOT,1027.74
NOR900434,"2413 REX PL","New Orleans","LA","70125","29.94548568500045","-90.09263474299968",B,VACANT LOT,1896.23
NOR900436,"1956 N PRIEUR ST","New Orleans","LA","70116","29.976363242000446","-90.06179863999967",C,VACANT LOT,939.27
NOR900442,"3420 THIRD ST","New Orleans","LA","70113","29.947032524000463","-90.09564432799965",B,VACANT LOT,2749.76
NOR900446,"2114 FRANCE ST","New Orleans","LA","70117","29.975929748000453","-90.03036085699966",D,VACANT LOT,4942.78
NOR900465,"5139 PAULINE DR","New Orleans","LA","70126","30.014470436000465","-90.03267045599966",D,STRUCTURE,5569.67
NOR900472,"2755 ST. ANN ST","New Orleans","LA","70119","29.97220478000048","-90.08361427999967",A,STRUCTURE,2963.99
NOR900475,"2415-17 ST. PHILIP ST","New Orleans","LA","70119","29.96946059500044","-90.07566685299969",D,VACANT LOT,5545.77
NOR900479,"1312-1314 S ROMAN ST","New Orleans","LA","70125","29.941960117000463","-90.10689605999966",B,VACANT LOT,3893.91
NOR900481,"2131-2133 EUTERPE ST","New Orleans","LA","70113","29.938381955000466","-90.07779692299965",B,VACANT LOT,1271.25
NOR900486,"3635 THIRD ST","New Orleans","LA","70125","29.948809138000456","-90.09687729799964",B,VACANT LOT,1524.88
NOR900487,"3829-3831 FOURTH ST","New Orleans","LA","70125","29.94285022900044","-90.09361966099965",B,VACANT LOT,1697.78
NOR900488,"1719 FLOOD ST","New Orleans","LA","70117","29.968010786000434","-90.01461057799969",E,VACANT LOT,3425.49
NOR900494,"5022 N ROBERTSON ST","New Orleans","LA","70117","29.966543303000435","-90.02054683899968",E,VACANT LOT,3265.13
NOR900495,"1500 CATON ST","New Orleans","LA","70122","29.99797225900045","-90.07482154399969",D,STRUCTURE,3440.81
NOR900497,"3226-3228 DELACHAISE ST","New Orleans","LA","70125","29.940813157000434","-90.09863705999965",B,VACANT LOT,5712.21
NOR900499,"1631 N DORGENOIS ST","New Orleans","LA","70119","29.978890772000454","-90.07342243499966",A,VACANT LOT,2929.07
NOR900500,"1826 THIRD ST","New Orleans","LA","70113","29.934112985000468","-90.08604468799967",B,VACANT LOT,2508.56
NOR900503,"1718-1720 ST. ANN ST","New Orleans","LA","70116","29.95754372200048","-90.06205832399968",A,VACANT LOT,2365.41
NOR900505,"3209-3211 DELACHAISE ST","New Orleans","LA","70125","29.940813157000434","-90.09863705999965",B,STRUCTURE,3675
NOR900506,"1225 S RAMPART ST","New Orleans","LA","70113","29.943358486000477","-90.07885413799966",B,VACANT LOT,2205.63
NOR900507,"1300 CLARA ST","New Orleans","LA","70113","29.94669259800048","-90.08568699599965",B,VACANT LOT,2554.64
NOR900508,"1304-1306 CLARA ST","New Orleans","LA","70113","29.939993900000445","-90.09461605599967",B,VACANT LOT,2575.55
NOR900509,"1513-1515 ANDRY ST","New Orleans","LA","70117","29.955161232000478","-90.02073675199966",E,VACANT LOT,4500.79
NOR900510,"2012-2014 LASALLE ST","New Orleans","LA","70113","29.937553841000465","-90.09084747199967",B,VACANT LOT,2389.38
NOR900511,"2313 ST. ANDREW ST","New Orleans","LA","70113","29.94138170600047","-90.08414015799968",B,VACANT LOT,1249.32
NOR900512,"2315 WILLOW ST","New Orleans","LA","70113","29.943575232000455","-90.0903038249997",B,STRUCTURE,990.13
NOR900513,"2730-2732 THALIA ST","New Orleans","LA","70113","29.940591736000442","-90.07635768699964",B,VACANT LOT,2501.99
NOR900514,"2817 THALIA ST","New Orleans","LA","70113","29.946355042000448","-90.08656701199965",B,VACANT LOT,1548.4
NOR900516,"3705-3709-3711 WASHINGTON AVE","New Orleans","LA","70125","29.951451862000454","-90.10372721199968",B,VACANT LOT,13249.25
NOR900518,"4521 FLAKE AVE","New Orleans","LA","70127","30.01655381100045","-89.98910905599968",E,VACANT LOT,3354.06
NOR900522,"923-925 LIZARDI ST","New Orleans","LA","70117","29.95632147800046","-90.02250811999966",E,VACANT LOT,2841.4
NOR900523,"5027-5029 DAUPHINE ST","New Orleans","LA","70117","29.955790068000454","-90.00965684899967",E,VACANT LOT,5051.91
NOR900524,"5460 ROYAL ST","New Orleans","LA","70117","29.957383079000465","-90.01877614699964",E,VACANT LOT,10357.28
NOR900529,"5604-5606 DAUPHINE ST","New Orleans","LA","70117","29.955790068000454","-90.00965684899967",E,VACANT LOT,3305.78
NOR900530,"6118-6120 ST. CLAUDE AVE","New Orleans","LA","70117","29.958083988000453","-90.00628682299964",E,VACANT LOT,4967.91
NOR900531,"623 FLOOD ST","New Orleans","LA","70117","29.95685128000048","-90.01825026999967",E,VACANT LOT,3883.58
NOR900532,"920 FLOOD ST","New Orleans","LA","70117","29.95983125300046","-90.01735011799968",E,VACANT LOT,4054.74
NOR900533,"1921-1923 EGANIA ST","New Orleans","LA","70117","29.955790068000454","-90.02172871799968",E,VACANT LOT,3763.96
NOR900538,"4716 URQUHART ST","New Orleans","LA","70117","29.965383766000457","-90.02530698199968",E,VACANT LOT,5901.28
NOR900544,"2642-2644 PIETY ST","New Orleans","LA","70117","29.961170596000443","-90.04336596999968",D,VACANT LOT,3463.52
NOR900546,"2339 S DERBIGNY ST","New Orleans","LA","70125","29.94549516100045","-90.09167537099967",B,VACANT LOT,1476.14
NOR900547,"2430-2432 CLOUET ST","New Orleans","LA","70117","29.961511584000448","-90.04603630599968",D,VACANT LOT,3558.49
NOR900548,"2226 FELICIANA ST","New Orleans","LA","70117","29.979809874000466","-90.04148009399967",D,VACANT LOT,3606.61
NOR900549,"1325 ANDRY ST","New Orleans","LA","70117","29.964180405000434","-90.01766161699965",E,VACANT LOT,6193.89
NOR900553,"1520 CLOUET ST","New Orleans","LA","70117","29.972189383000455","-90.04287059099966",C,STRUCTURE,3175.03
NOR900554,"2414 SPAIN ST","New Orleans","LA","70117","29.982478349000473","-90.05439252699966",D,VACANT LOT,4698.84
NOR900556,"3936 TOLEDANO ST","New Orleans","LA","70119","29.949766141000453","-90.10032748299966",B,VACANT LOT,2348.93
NOR900558,"701 ANDRY ST","New Orleans","LA","70117","29.957821311000487","-90.01979118599968",E,VACANT LOT,5139.19
NOR900561,"2600 GALLIER ST","New Orleans","LA","70117","29.982159742000476","-90.03498123899965",D,VACANT LOT,3417.04
NOR900564,"2708-2710 S DERBIGNY ST","New Orleans","LA","70125","29.94108329100044","-90.10694920099968",B,VACANT LOT,1821.57
NOR900566,"1031 EGANIA ST","New Orleans","LA","70117","29.961530881000442","-90.01977105099968",E,STRUCTURE,1360.28
NOR900568,"3415 CLOUET ST","New Orleans","LA","70126","29.993021963000444","-90.03650083599968",E,VACANT LOT,4052.26
NOR900571,"1214-1216 FLOOD ST","New Orleans","LA","70117","29.95456339600048","-90.0190273829997",E,VACANT LOT,3451.32
NOR900572,"1930 ANDRY ST","New Orleans","LA","70117","29.970629516000486","-90.01561022099969",E,VACANT LOT,3766.66
NOR900573,"2136 PAINTERS ST","New Orleans","LA","70117","29.979978060000462","-90.04967265499965",D,VACANT LOT,3215.23
NOR900574,"2508 PAINTERS ST","New Orleans","LA","70117","29.983457855000438","-90.04992256499969",D,STRUCTURE,5365.39
NOR900581,"1704 EGANIA ST","New Orleans","LA","70117","29.968319917000485","-90.0175609429997",E,VACANT LOT,3434
NOR900582,"1908 REYNES ST","New Orleans","LA","70117","29.971020371000463","-90.01947968599967",E,VACANT LOT,4741.87
NOR900584,"3038 FELICIANA ST","New Orleans","LA","70126","29.98927922800044","-90.03859013499965",E,VACANT LOT,6108.86
NOR900585,"3417 CLOUET ST","New Orleans","LA","70126","29.992627034000463","-90.03660623499968",E,VACANT LOT,4091.99
NOR900587,"5014 N DERBIGNY ST","New Orleans","LA","70117","29.96858404000045","-90.01982671799965",E,VACANT LOT,3808.87
NOR900589,"636 LIZARDI ST","New Orleans","LA","70117","29.957961071000454","-90.02197997499968",E,VACANT LOT,2423.29
NOR900590,"724 LIZARDI ST","New Orleans","LA","70117","29.95869066700044","-90.02174072499969",E,VACANT LOT,3221.22
NOR900591,"911 LIZARDI ST","New Orleans","LA","70117","29.960340549000477","-90.02113075299968",E,VACANT LOT,2869.22
NOR900593,"3048 LOUISA ST","New Orleans","LA","70126","29.988900217000435","-90.03592047599966",E,VACANT LOT,4798.39
NOR900594,"3201 LOUISA ST","New Orleans","LA","70126","29.99005146300044","-90.03551066999967",E,VACANT LOT,4898.03
NOR900595,"3226 LOUISA ST","New Orleans","LA","70126","29.990509830000462","-90.03544078999965",E,VACANT LOT,4715.06
NOR900596,"3232 LOUISA ST","New Orleans","LA","70126","29.990629455000487","-90.03540051999965",E,VACANT LOT,4782.04
NOR900600,"1214 CHARBONNET ST","New Orleans","LA","70117","29.962119533000475","-90.01352092199966",E,VACANT LOT,2229.04
NOR900601,"1225 FLOOD ST","New Orleans","LA","70117","29.962940328000457","-90.01628059599966",E,VACANT LOT,3882.62
NOR900602,"1259 TENNESSEE ST","New Orleans","LA","70117","29.96455112600046","-90.02256151999967",E,VACANT LOT,5503.44
NOR900603,"1318 FLOOD ST","New Orleans","LA","70117","29.96379902500047","-90.01607095599968",E,VACANT LOT,4147.86
NOR900605,"1432 JOURDAN AVE","New Orleans","LA","70117","29.967250395000463","-90.02405979799966",E,VACANT LOT,3391.58
NOR900606,"1739-1741 EGANIA ST","New Orleans","LA","70117","29.955790068000454","-90.02172871799968",E,VACANT LOT,3896.57
NOR900607,"1802-1804 EGANIA ST","New Orleans","LA","70117","29.955790068000454","-90.02172871799968",E,VACANT LOT,3441.17
NOR900608,"2031 LAHARPE ST 1542-44 N GALVEZ","New Orleans","LA","70116","29.97476428900046","-90.07061419999968",C,STRUCTURE,5044.6
NOR900609,"5410 URQUHART ST","New Orleans","LA","70117","29.963603598000475","-90.01745671499964",E,VACANT LOT,3967.55
NOR900610,"5433 MARAIS ST","New Orleans","LA","70117","29.962526969000464","-90.01736433099967",E,VACANT LOT,5418.13
NOR900617,"1410 EGANIA ST","New Orleans","LA","70117","29.965310332000456","-90.01856058399966",E,VACANT LOT,4272.59
